symbol,company_name,isin_number,series,market_type
20MICRONS,20 Microns Limited,INE144J01027,EQ,NSE
21STCENMGM,21st Century Management Services Limited,INE253B01015,EQ,NSE
360ONE,360 ONE WAM LIMITED,INE466L01038,EQ,NSE
3IINFOLTD,3i Infotech Limited,INE748C01038,EQ,NSE
3MINDIA,3M India Limited,INE470A01017,EQ,NSE
3PLAND,3P Land Holdings Limited,INE105C01023,EQ,NSE
5PAISA,5Paisa Capital Limited,INE618L01018,EQ,NSE
63MOONS,63 moons technologies limited,INE111B01023,EQ,NSE
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,BE,NSE
AAATECH,AAA Technologies Limited,INE0D0U01013,EQ,NSE
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,EQ,NSE
AAKASH,Aakash Exploration Services Limited,INE087Z01024,BE,NSE
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,BE,NSE
AARON,Aaron Industries Limited,INE721Z01010,EQ,NSE
AARTECH,Aartech Solonics Limited,INE01C001026,EQ,NSE
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,EQ,NSE
AARTIIND,Aarti Industries Limited,INE769A01020,EQ,NSE
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,EQ,NSE
AARTISURF,Aarti Surfactants Limited,INE09EO01013,BE,NSE
AARVEEDEN,Aarvee Denims & Exports Limited,INE273D01019,BE,NSE
AARVI,Aarvi Encon Limited,INE754X01016,EQ,NSE
AAVAS,Aavas Financiers Limited,INE216P01012,EQ,NSE
ABAN,Aban Offshore Limited,INE421A01028,EQ,NSE
ABB,ABB India Limited,INE117A01022,EQ,NSE
ABBOTINDIA,Abbott India Limited,INE358A01014,EQ,NSE
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,EQ,NSE
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,EQ,NSE
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,EQ,NSE
ABINFRA,A B Infrabuild Limited,INE00YB01017,BE,NSE
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,EQ,NSE
ABMINTLLTD,ABM International Limited,INE251C01025,BE,NSE
ABREL,Aditya Birla Real Estate Limited,INE055A01016,EQ,NSE
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,EQ,NSE
ACC,ACC Limited,INE012A01025,EQ,NSE
ACCELYA,Accelya Solutions India Limited,INE793A01012,EQ,NSE
ACCURACY,Accuracy Shipping Limited,INE648Z01023,EQ,NSE
ACE,Action Construction Equipment Limited,INE731H01025,EQ,NSE
ACEINTEG,Ace Integrated Solutions Limited,INE543V01017,EQ,NSE
ACI,Archean Chemical Industries Limited,INE128X01021,EQ,NSE
ACL,Andhra Cements Limited,INE666E01020,EQ,NSE
ACLGATI,Allcargo Gati Limited,INE152B01027,EQ,NSE
ACMESOLAR,Acme Solar Holdings Limited,INE622W01025,EQ,NSE
ACUTAAS,Acutaas Chemicals Limited,INE00FF01025,EQ,NSE
ADANIENSOL,Adani Energy Solutions Limited,INE931S01010,EQ,NSE
ADANIENT,Adani Enterprises Limited,INE423A01024,EQ,NSE
ADANIGREEN,Adani Green Energy Limited,INE364U01010,EQ,NSE
ADANIPORTS,Adani Ports and Special Economic Zone Limited,INE742F01042,EQ,NSE
ADANIPOWER,Adani Power Limited,INE814H01011,EQ,NSE
ADFFOODS,ADF Foods Limited,INE982B01027,EQ,NSE
ADL,Archidply Decor Limited,INE0CHO01012,BE,NSE
ADOR,Ador Welding Limited,INE045A01017,EQ,NSE
ADROITINFO,Adroit Infotech Limited,INE737B01033,EQ,NSE
ADSL,Allied Digital Services Limited,INE102I01027,EQ,NSE
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,INE199C01026,EQ,NSE
ADVENZYMES,Advanced Enzyme Technologies Limited,INE837H01020,EQ,NSE
AEGISLOG,Aegis Logistics Limited,INE208C01025,EQ,NSE
AEGISVOPAK,Aegis Vopak Terminals Limited,INE0INX01018,EQ,NSE
AEROENTER,Aeroflex Enterprises Limited,INE065D01027,EQ,NSE
AEROFLEX,Aeroflex Industries Limited,INE024001021,EQ,NSE
AETHER,Aether Industries Limited,INE0BWX01014,EQ,NSE
AFCONS,Afcons Infrastructure Limited,INE101I01011,EQ,NSE
AFFLE,Affle 3i Limited,INE00WC01027,EQ,NSE
AFFORDABLE,Affordable Robotic & Automation Limited,INE692Z01013,EQ,NSE
AFIL,Akme Fintrade (India) Limited,INE916Y01027,EQ,NSE
AFSL,Abans Financial Services Limited,INE00ZE01026,EQ,NSE
AGARIND,Agarwal Industrial Corporation Limited,INE204E01012,EQ,NSE
AGARWALEYE,Dr. Agarwal's Health Care Limited,INE943P01029,EQ,NSE
AGI,AGI Greenpac Limited,INE415A01038,EQ,NSE
AGIIL,Agi Infra Limited,INE976R01025,EQ,NSE
AGRITECH,Agri-Tech (India) Limited,INE449G01018,EQ,NSE
AGROPHOS,Agro Phos India Limited,INE740V01019,EQ,NSE
AGSTRA,AGS Transact Technologies Limited,INE583L01014,BE,NSE
AHLADA,Ahlada Engineers Limited,INE00PV01013,EQ,NSE
AHLEAST,Asian Hotels (East) Limited,INE926K01017,EQ,NSE
AHLUCONT,Ahluwalia Contracts (India) Limited,INE758C01029,EQ,NSE
AIAENG,AIA Engineering Limited,INE212H01026,EQ,NSE
AIIL,Authum Investment & Infrastructure Limited,INE206F01022,EQ,NSE
AIRAN,Airan Limited,INE645W01026,EQ,NSE
AIROLAM,Airo Lam limited,INE801L01010,EQ,NSE
AJANTPHARM,Ajanta Pharma Limited,INE031B01049,EQ,NSE
AJAXENGG,Ajax Engineering Limited,INE274Y01021,EQ,NSE
AJMERA,Ajmera Realty & Infra India Limited,INE298G01027,EQ,NSE
AJOONI,Ajooni Biotech Limited,INE820Y01021,EQ,NSE
AKASH,Akash Infra-Projects Limited,INE737W01013,EQ,NSE
AKG,Akg Exim Limited,INE00Y801016,EQ,NSE
AKI,AKI India Limited,INE642Z01026,BE,NSE
AKSHAR,Akshar Spintex Limited,INE256Z01025,BE,NSE
AKSHARCHEM,AksharChem India Limited,INE542B01011,EQ,NSE
AKSHOPTFBR,Aksh Optifibre Limited,INE523B01011,EQ,NSE
AKUMS,Akums Drugs and Pharmaceuticals Limited,INE09XN01023,EQ,NSE
AKZOINDIA,Akzo Nobel India Limited,INE133A01011,EQ,NSE
ALANKIT,Alankit Limited,INE914E01040,EQ,NSE
ALBERTDAVD,Albert David Limited,INE155C01010,EQ,NSE
ALEMBICLTD,Alembic Limited,INE426A01027,EQ,NSE
ALICON,Alicon Castalloy Limited,INE062D01024,EQ,NSE
ALIVUS,Alivus Life Sciences Limited,INE03Q201024,EQ,NSE
ALKALI,Alkali Metals Limited,INE773I01017,EQ,NSE
ALKEM,Alkem Laboratories Limited,INE540L01014,EQ,NSE
ALKYLAMINE,Alkyl Amines Chemicals Limited,INE150B01039,EQ,NSE
ALLCARGO,Allcargo Logistics Limited,INE418H01029,EQ,NSE
ALLDIGI,Alldigi Tech Limited,INE835G01018,EQ,NSE
ALMONDZ,Almondz Global Securities Limited,INE326B01035,EQ,NSE
ALOKINDS,Alok Industries Limited,INE270A01029,EQ,NSE
ALPA,Alpa Laboratories Limited,INE385I01010,EQ,NSE
ALPHAGEO,Alphageo (India) Limited,INE137C01018,EQ,NSE
AMBER,Amber Enterprises India Limited,INE371P01015,EQ,NSE
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,INE792B01012,EQ,NSE
AMBIKCO,Ambika Cotton Mills Limited,INE540G01014,EQ,NSE
